threshold,accuracy,balanced_accuracy
0.5,0.378822984244671,0.8865182248209347
0.6,0.4184430027803522,0.8905719595775693
0.7,0.456209453197405,0.8947229469369827
0.8,0.5003089280197714,0.8996014046770224
0.9,0.5609360518999074,0.9048573038070971
0.95,0.6101328390485017,0.9088419161453231
0.99,0.7013438368860055,0.9145120630691893
0.995,0.7328544949026877,0.9143253859543397
0.999,0.7954896509113376,0.9104755641605682
0.9995,0.8175007723200495,0.9091097231190601
0.9999,0.8542632066728453,0.8962973588451327
0.99995,0.8640716713005869,0.8841387934040532
0.99999,0.8820667284522706,0.8483841070027398
0.999999,0.8734167438986716,0.7454543003314389
0.9999999,0.8311708371949336,0.6032987829034586
